18p;2;"C7 C8"
100n;8;"C3 C9 C10 C11 C12 C13 C15 C16"
4u7;4;"C2 C4 C5 C14"
54u;2;"C1 C6"
1n5819;8;"D3 D4 D5 D6 D7 D8 D9 D10"
LED;2;"D1 D2"
power-switch;1;"K1"
usb-power-switch;1;"K2"
batt;1;"P1"
trigger-btn;1;"P3"
CONN_3X2;1;"P4"
bootloader;1;"P7"
cross board conn;1;"P8"
gpio-big;1;"P14"
gpio-small;1;"P15"
moto-1;1;"P16"
moto-2;1;"P17"
rst;2;"P9 P10"
screw-1;1;"P11"
screw-2;1;"P13"
IRLML2244;5;"Q1 Q3 Q4 Q9 Q10"
BC847;5;"Q2 Q5 Q6 Q7 Q8"
sot223;1;"Q11"
bc857;1;"Q12"
irlml2244;1;"Q13"
0.1;4;"R36 R37 R38 R39"
3;2;"R46 R47"
22;2;"R32 R33"
50;1;"R13"
1k;8;"R1 R3 R6 R10 R22 R23 R26 R27"
1k;4;"R41 R43 R44 R45"
1k5;1;"R34"
3k;1;"R8"
3k3;1;"R4"
5k1;1;"R5"
10k;3;"R15 R16 R17"
30k;16;"R2 R7 R9 R11 R12 R14 R18 R19 R20 R21 R24 R25 R28 R29 R30 R31"
30k;4;"R40 R42 R48 R49"
100k;1;"R35"
STM32F102C8T6;1;"stm1"
LM293;1;"U5"
L298;1;"U6"
MINI-USB-B;1;"U7"
MY_LM317EMP;2;"U1 U3"
MY_LM317T;2;"U2 U4"
sc-rpi-5v;1;"W1"
sc-addon-5v;1;"W2"
sc-addon-3.3;1;"W3"
TEST;3;"W4 W5 W10"
sc-sense-2;1;"W6"
sc-sense-1;1;"W7"
sc-moto-2;1;"W8"
sc-moto-1;1;"W9"
8MHz;1;"X1"
